hhtyp,indic_il,unit,geo\time	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
A1,MED_E,EUR,AT	20199 p	19602 b	18802 	18365 	18000 	17360 	16835 	16585 	16831 	15542 	14331 	14491 	14391 	13122 	13166 	12617 	13043 	12180 
A1,MED_E,EUR,BE	: 	15886 	15662 	15807 	15873 	14617 	14053 	13800 	13575 	13160 	12607 	12791 	12345 	12197 	11842 	12138 	11677 	10894 
A1,MED_E,EUR,BG	: 	1841 	1715 	1774 	1493 	1221 	927 	914 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,CH	: 	35776 	31134 	28667 	27406 	25981 	27121 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,CY	13723 	13383 	13491 	12740 	13661 	12370 b	10719 	9552 	8346 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,CZ	6179 	6100 	5692 	5394 	5319 	4512 	4132 	3626 	3214 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,DE	: 	15831 	15671 	15697 	15894 	15580 	15195 	14884 	14772 	: 	: 	14248 	13896 	13244 	13490 	13693 	13396 	12471 
A1,MED_E,EUR,DK	21464 	20884 	20334 	19771 	19309 	18508 	17989 	17265 	17027 	16764 	16446 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,EA17	: 	15660 	15434 	15338 	15313 	14913 	13929 	13441 	13278 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,EA18	: 	15593 	15366 	15274 	15243 	14846 	13868 	13380 	13215 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,EE	4288 	4006 	3905 	3894 	3761 	3202 	2687 	2301 	1953 	1687 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,EL	: 	9050 	9130 	10000 	9836 	9600 	8700 	8700 	8150 	7430 	7000 	5804 	5758 	5080 	5043 	5040 	4746 	4289 
A1,MED_E,EUR,ES	12506 b	11400 	11100 	11200 	11127 	11130 	9890 	8796 	8400 	8190 	: 	7159 	6755 	6061 	5678 	5487 	5325 	5144 
A1,MED_E,EUR,EU15	: 	16131 	15601 	15395 	15343 	15192 	14708 	14109 	13880 	: 	: 	11815 e	11334 e	10628 e	10411 e	9977 e	9471 e	9137 e
A1,MED_E,EUR,EU27	: 	14415 	14025 	13813 	13760 	13555 	13065 	12462 e	12158 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,EU28	: 	14357 	13968 	13758 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,FI	16949 	16384 	16046 	16057 	15261 	14234 	13790 	13328 	13162 	12550 	: 	10647 	10349 	10021 	9817 	9873 	9830 	: 
A1,MED_E,EUR,FR	: 	18703 	18271 	17765 	17989 	17283 	14814 	14398 	14272 	13649 	: 	13105 	12834 	12159 	12145 	11952 	11401 	11136 
A1,MED_E,EUR,HR	: 	3979 	3902 	4087 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,HU	4111 	4098 	3977 	3809 	4200 	3868 	3406 	3282 	3060 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,IE	: 	14361 	14919 	14823 	15304 	15466 	14182 	12508 	11679 	10447 	9653 	7239 	6598 	6763 	6310 	5828 	5295 	5224 
A1,MED_E,EUR,IS	16682 	15716 	14684 	14246 	17177 	25434 	23280 	24199 	17948 	16924 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,IT	15035 	15078 	14972 	14684 	14186 	14002 	13472 	12823 	12382 	12012 	: 	9379 	9374 	9070 	8544 	7938 	7323 	7467 
A1,MED_E,EUR,LT	3431 	3102 	2951 	3077 	2989 	2605 	1981 	1666 	1460 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,LU	: 	33987 	31635 	32328 	32744 	31699 	30187 	29342 	29605 	29183 	26874 	23996 	22930 	21590 	21651 	21512 	21789 	19165 
A1,MED_E,EUR,LV	3191 	3074 	3113 	3032 	2739 	2293 	1860 	1436 	1410 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,MT	: 	8970 	8706 	8198 	7973 	7294 	7113 	7117 	6386 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,NL	: 	17401 	17465 	17429 	17140 	16826 	15787 	15092 	15613 	: 	: 	13330 	13012 	12423 	11587 	11370 	10537 	10128 
A1,MED_E,EUR,NMS12	: 	4001 	3911 	3621 	3788 	3296 	2872 	2431 	2056 	1687 u	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,NO	34433 	32732 	29187 	25886 	27431 	25123 	23798 	22255 	20350 	20941 	21204 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,PL	4433 	4299 	4156 	3655 	4250 	3637 	3244 	2962 	2387 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,PT	: 	7290 	7000 	6804 	6622 	6216 	5499 	5056 	4900 	4900 	: 	4170 	3763 	3471 	3179 	3157 	2912 	2688 
A1,MED_E,EUR,RO	: 	1888 	1883 	1749 	1834 	1587 	1214 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,SE	: 	17708 	16334 	14567 	15817 	15612 	14713 	14552 	14356 	13364 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,SI	: 	8568 	8314 	8185 	7765 	7256 	6876 	6123 	5833 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,SK	5549 	5325 	5116 	4836 	4328 	3508 	2976 	2556 	2178 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,TR	: 	: 	: 	: 	: 	: 	: 	3375 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,EUR,UK	: 	16568 b	14526 	14112 	13677 	14984 	17405 	15999 	15326 	: 	: 	13841 	12387 	10963 	10374 	8294 	7559 	7609 
A1,MED_E,NAC,AT	20199 p	19602 b	18802 	18365 	18000 	17360 	16835 	16585 	16831 	15542 	14331 	14491 	14391 	13212 	13226 	12318 	12495 	11984 
A1,MED_E,NAC,BE	: 	15886 	15662 	15807 	15873 	14617 	14053 	13800 	13575 	13160 	12607 	12791 	12345 	12282 	11899 	11825 	11160 	10709 
A1,MED_E,NAC,BG	: 	3601 	3355 	3470 	2921 	2387 	1814 	1788 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,CH	: 	44097 	42975 	43287 	43505 	42679 	42658 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,CY	13723 	13383 	13491 	12740 	13661 	7207 b	6172 	5510 	4856 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,CZ	155400 	150000 	143915 	142587 	132699 	125268 	117120 	108000 	102500 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,DE	: 	15831 	15671 	15697 	15894 	15580 	15195 	14884 	14772 	: 	: 	14248 	13896 	13334 	13549 	13369 	12834 	12271 
A1,MED_E,NAC,DK	159771 	155600 	151435 	147220 	143966 	137897 	134180 	128657 	126679 	124567 	122201 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,EE	4288 	4006 	3905 	3894 	3761 	3202 	2687 	2301 	1953 	1687 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,EL	: 	9050 	9130 	10000 	9836 	9600 	8700 	8700 	8150 	7430 	7000 	5804 	5572 	4990 	4634 	4574 	4271 	3669 
A1,MED_E,NAC,ES	12506 b	11400 	11100 	11200 	11127 	11130 	9890 	8796 	8400 	8190 	: 	7159 	6755 	6090 	5661 	5301 	5217 	4913 
A1,MED_E,NAC,FI	16949 	16384 	16046 	16057 	15261 	14234 	13790 	13328 	13162 	12550 	: 	10647 	10349 	10083 	9709 	9678 	9438 	: 
A1,MED_E,NAC,FR	: 	18703 	18271 	17765 	17989 	17283 	14814 	14398 	14272 	13649 	: 	13105 	12834 	12236 	12243 	11837 	11341 	11175 
A1,MED_E,NAC,HR	: 	29600 	28440 	30000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,HU	1189000 	1144760 	1095660 	1067719 	1056250 	972140 	900000 	814200 	770000 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,IE	: 	14361 	14919 	14823 	15304 	15466 	14182 	12508 	11679 	10447 	9653 	7239 	6598 	6751 	5989 	5871 	5483 	5264 
A1,MED_E,NAC,IS	2681322 	2536907 	2377256 	2459814 	2470598 	2228775 	2043082 	1893092 	1563957 	1466439 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,IT	15035 	15078 	14972 	14684 	14186 	14002 	13472 	12823 	12382 	12012 	: 	9379 	9374 	9104 	8513 	8031 	8057 	7385 
A1,MED_E,NAC,LT	11846 	10711 	10191 	10623 	10320 	8994 	6840 	5754 	5040 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,LU	: 	33987 	31635 	32328 	32744 	31699 	30187 	29342 	29605 	29183 	26874 	23996 	22930 	21740 	21754 	20957 	20823 	18840 
A1,MED_E,NAC,LV	2225 	2171 	2206 	2140 	1925 	1605 	1295 	1000 	938 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,MT	: 	8970 	8706 	8198 	7973 	7294 	7113 	3059 	2733 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,NL	: 	17401 	17465 	17429 	17140 	16826 	15787 	15092 	15613 	: 	: 	13330 	13012 	12513 	11624 	11040 	10036 	9920 
A1,MED_E,NAC,NO	257388 	255093 	233620 	225931 	225584 	201395 	191511 	178243 	170326 	167598 	159216 	: 	: 	: 	: 	: 	: 	: 
